ID,FLOSS_TYPE_ID,COLOR,NAME,RGB
426,1,3810,Turquoise Dark,#488E9A
427,1,3811,Turquoise Very Light,#BCE3E6
428,1,3812,Sea Green Very Dark,#2F8C84
429,1,3813,Blue Green Light,#B2D4BD
430,1,3814,Aquamarine,#508B7D
431,1,3815,Celadon Green Dark,#477759
432,1,3816,Celadon Green,#65A57D
433,1,3817,Celadon Green Light,#99C3AA
434,1,3818,Emerald Green Ultra Very Dark,#115A3B
435,1,3819,Moss Green Light,#E0E868
436,1,3820,Straw Dark,#DFB65F
437,1,3821,Straw,#F3CE75
438,1,3822,Straw Light,#F6DC98
439,1,3823,Yellow Ultra Pale,#FFFDE3
440,1,3824,Apricot Light,#FECDC2
441,1,3825,Pumpkin Pale,#FDBD96
442,1,3826,Golden Brown,#AD7239
443,1,3827,Golden Brown Pale,#F7BB77
444,1,3828,Hazelnut Brown,#B78B61
445,1,3829,Old Gold Vy Dark,#A98204
446,1,3830,Terra Cotta,#BC5544
447,1,3831,Raspberry Dark,#B32F48
448,1,3832,Raspberry Medium,#DB556E
449,1,3833,Raspberry Light,#EA8699
450,1,3834,Grape Dark,#72375D
451,1,3835,Grape Medium,#946083
452,1,3836,Grape Light,#BA91AA
453,1,3837,Lavender Ultra Dark,#6C3A6E
454,1,3838,Lavender Blue Dark,#5C7294
455,1,3839,Lavender Blue Medium,#7B8EAB
456,1,3840,Lavender Blue Light,#B0C0DA
457,1,3841,Baby Blue Pale,#CDDFED
458,1,3842,Wedgewood Very Dark,#32667C
459,1,3843,Electric Blue,#14AAD0
460,1,3844,Turquoise Bright Dark,#12AEBA
461,1,3845,Turquoise Bright Medium,#04C4CA
462,1,3846,Turquoise Bright Light,#06E3E6
463,1,3847,Teal Green Dark,#347D75
464,1,3848,Teal Green Medium,#419392
465,1,3849,Teal Green Light,#52B3AE
466,1,3850,Green Bright Dark,#378477
467,1,3851,Green Bright Light,#49B3A1
468,1,3852,Straw Very Dark,#CD9D37
469,1,3853,Autumn Gold Dark,#F29746
470,1,3854,Autumn Gold Medium,#F2AF68
471,1,3855,Autumn Gold Light,#FAD396
472,1,3856,Mahogany Ultra Very Light,#FFD3B5
473,1,3857,Rosewood Dark,#68251A
474,1,3858,Rosewood Medium,#964A3F
475,1,3859,Rosewood Light,#BA8B7C
476,1,3860,Cocoa,#7D5D57
477,1,3861,Cocoa Light,#A68881
478,1,3862,Mocha Beige Dark,#8A6E4E
479,1,3863,Mocha Beige Medium,#A4835C
480,1,3864,Mocha Beige Light,#CBB69C
481,1,3865,Winter White,#F9F7F1
482,1,3866,Mocha Brown Ultra Very Light,#FAF6F0
